id,datestamp,timestamp,version,order,behavior,opponent,reply,payoff,rt,score,met,condition
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:28,lit1p1,19,1,1pun,-2,1,5042,512,1,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:30,lit1p1,2,1,7nopun,0,1,13993,502,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:32,lit1p1,45,1,7nopun,0,1,4240,494,5,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:34,lit1p1,20,1,1pun,-2,1,4437,511,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:38,lit1p1,46,1,7nopun,0,1,4459,495,6,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:40,lit1p1,21,1,1pun,-2,1,4645,510,3,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:44,lit1p1,47,2,7nopun,0,0,4852,495,7,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:46,lit1p1,22,1,1pun,-2,1,4694,509,4,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:49,lit1p1,48,1,7nopun,0,1,4196,496,8,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:52,lit1p1,23,1,1pun,-2,1,5402,508,5,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:43:54,lit1p1,49,1,7nopun,0,1,4823,497,9,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:43:59,lit1p1,24,1,1pun,-2,1,5609,507,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:44:00,lit1p1,50,2,7nopun,0,0,4528,497,10,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:44:02,lit1p1,18,2,3pun,0,0,4944,512,4,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:44:05,lit1p1,51,1,0nopun,0,1,4373,498,1,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:44:07,lit1p1,25,2,6nopun,0,0,6777,507,1,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:44:10,lit1p1,52,1,0nopun,0,1,4243,499,2,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:44:14,lit1p1,26,1,6nopun,0,1,4965,508,2,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:44:19,lit1p1,27,1,6nopun,0,1,4449,509,3,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:44:24,lit1p1,28,1,6nopun,0,1,4544,510,4,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:26,lit1p1,1,1,5pun,-2,1,25303,499,1,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:26,lit1p1,4,1,5pun,-2,1,5337,498,4,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:27,lit1p1,5,2,5pun,0,0,4862,498,5,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:28,lit1p1,6,2,5pun,0,0,4997,498,6,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:28,lit1p1,7,2,1nopun,0,0,5364,498,1,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:29,lit1p1,8,2,1nopun,0,0,4690,498,2,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:29,lit1p1,9,2,1nopun,0,0,5145,498,3,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:44:29,lit1p1,29,1,6nopun,0,1,4429,511,5,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:30,lit1p1,10,2,1nopun,0,0,5493,498,4,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:31,lit1p1,11,2,1nopun,0,0,6592,498,5,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:31,lit1p1,12,2,1nopun,0,0,4503,498,6,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:32,lit1p1,13,2,6pun,0,0,8602,498,1,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:32,lit1p1,14,2,6pun,0,0,7369,498,2,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:33,lit1p1,15,2,6pun,0,0,7702,498,3,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:34,lit1p1,16,2,6pun,0,0,4883,498,4,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:34,lit1p1,17,2,6pun,0,0,6378,498,5,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:35,lit1p1,18,2,6pun,0,0,5697,498,6,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:35,lit1p1,19,2,6pun,0,0,6314,498,7,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:36,lit1p1,20,2,6pun,0,0,5554,498,8,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:46,lit1p1,21,2,3pun,0,0,8381,498,1,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:53,lit1p1,3,2,5pun,0,0,5646,499,3,0
A3FAUZKVE00WGC_m4,11/7/2013,20:44:54,lit1p1,22,2,3pun,0,0,6517,498,2,0
A3FAUZKVE00WGC_m4,11/7/2013,20:45:03,lit1p1,23,2,3pun,0,0,6591,498,3,0
A3FAUZKVE00WGC_m4,11/7/2013,20:45:09,lit1p1,24,2,3pun,0,0,5153,498,4,0
